,,,,,,,,,Connectivity,Shipment,Shifts per,Guards per,DCs per,,,,Staging Area,,Driveway,,Backup,Entry/Exit,,,,Fast Lane,Dock Doors,,,,Drop Area,,,,Ship/Rcv,Urban /,Potential,Multiple,,Remote,
Name,Type,Archetype,Archetype Name,,WMS,TMS,YMS,EBOL,Available,Volume,Day,Shift,Shift,Truck Gate?,Guard Shack?,Remote GS?,Pre-Gate,Post-Gate,Long (3+),Short (1-2 trucks),Sensitive?,Together,Separate,Entry Lanes,Exit Lanes,Opportunity?,0-10,10-25,25-50,50+,0-10,10-25,25-50,50+,Separate?,Rural,Connectivity Issue?,Facilities?,Scale,Drop Yard,
Samuel Adams Pennsylvania Brewery - Breinigsville PA,Brewery / production facility (largest in network; includes ~1M sq ft brewery + warehouse space on ~76 acres),#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,1,1,YES,,,YES,,,,,YES,YES,Rural,,YES,YES,YES,"https://www.google.com/maps/@40.5755,-75.6285,400m/data=!3m1!1e3"
Cincinnati Brewery - Cincinnati OH,Brewery / canning production facility (Over-the-Rhine; $85M canning expansion 2020 quadrupled canning capacity),#3,No Gate / No GS,,,,,,,,,,,,,,,,,YES,YES,,,,,,,YES,,,,YES,,,,Urban,,YES,,YES,"https://www.google.com/maps/@39.114,-84.5226,400m/data=!3m1!1e3"
Milton Brewery (Dogfish Head) - Milton DE,Brewery / production facility (Dogfish Head main production; acquired by Boston Beer 2019),#3,No Gate / No GS,,,,,,,,,,,,,,,,,YES,,,,,,,,YES,,,YES,,,,YES,Rural,,,,,"https://www.google.com/maps/@38.7705,-75.31,400m/data=!3m1!1e3"
"Samuel Adams Boston Brewery - Jamaica Plain, Boston MA","Brewery / production facility (heritage Jamaica Plain site; smaller footprint, taproom-attached)",#3,No Gate / No GS,,,,,,,,,,,,,,,,,YES,YES,,,,,,YES,,,,,,,,,Urban,,,,,"https://www.google.com/maps/@42.3145,-71.1031,400m/data=!3m1!1e3"
Angry Orchard Innovation Cidery - Walden NY,Cidery / production facility (company-owned 60-acre apple orchard + Innovation Cider House; specialty/small-batch cider production),#3,No Gate / No GS,,,,,,,,,,,,,,,,,YES,,,,,,,YES,,,,,,,,,Rural,YES,,,,"https://www.google.com/maps/@41.5901,-74.224,400m/data=!3m1!1e3"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#1,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#2,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#3,4,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#4,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#5,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#6,1,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#7,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#8,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#9,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#10,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,5,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fast Lane Opportunity,1,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rural / connectivity,3,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guarded,1,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Not-Guarded,4,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# Shifts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA,5,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,5,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
