Account,Priority,Persona,Title,Lane,Role,Best Angle,Intro Path,Source Type,Confidence,Source URL,Audit URL,Owner,Status,Next Step
Danone,P1,Heiko Gerling,"Chief Operations Officer, North America",Executive,Exec sponsor / budget owner,Show how Primo used yard/process standardization to lift throughput without adding yard labor.,Mark -> Heiko / CSCO office,Public Danone North America leadership page,High,https://www.danonenorthamerica.com/about-us/our-leaders.html,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Danone,Jake / Casey,Open,
Danone,P1,Whitney Klemm,Supply Chain Leader,Routing / Unknown,Routing contact,Show how Primo used yard/process standardization to lift throughput without adding yard labor.,Use intro to request proper routing if Heiko delegates,Public LinkedIn profile,Medium,https://www.linkedin.com/in/whitneyklemm,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Danone,Jake / Casey,Open,
Danone,P2,Annette Tolve,Demand Planner,Operator,Operational evaluator / routing contact,Show how Primo used yard/process standardization to lift throughput without adding yard labor.,LinkedIn / network outreach,Public LinkedIn profile,Medium,https://www.linkedin.com/in/annette-tolve-40687b98,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Danone,Jake / Casey,Open,
General Mills,P1,Jonathan Ness,Chief Supply Chain Officer,Executive,Exec sponsor / budget owner,"Anchor on multi-site consistency and how standardized yard execution supports sourcing, planning, manufacturing, logistics, and customer operations.",Direct outreach to CSCO office,Official company leadership page,High,https://www.generalmills.com/about-us/leadership/executive-team-jonathan-ness,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=General%20Mills,Jake / Casey,Open,
General Mills,P1,Nisar Ahsanullah,General Mills supply chain leader,Routing / Unknown,Routing contact,"Anchor on multi-site consistency and how standardized yard execution supports sourcing, planning, manufacturing, logistics, and customer operations.",LinkedIn / Sales Nav,Public LinkedIn profile,Medium,https://www.linkedin.com/in/nahsanullah,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=General%20Mills,Jake / Casey,Open,
General Mills,P2,Ryan Underwood,Manufacturing and logistics operations leader,Operator,Operational evaluator / routing contact,"Anchor on multi-site consistency and how standardized yard execution supports sourcing, planning, manufacturing, logistics, and customer operations.",LinkedIn / Sales Nav,Public LinkedIn profile,Medium,https://www.linkedin.com/in/ryanunderwoodusa,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=General%20Mills,Jake / Casey,Open,
Frito-Lay,P1,Beth Mars,Transportation Director,Functional Buyer,Functional buyer / rollout owner,Position YardFlow as the layer that reduces execution variance when network design is shifting under the business.,LinkedIn / Sales Nav,Public LinkedIn profile,Medium,https://www.linkedin.com/in/bethmars,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Frito-Lay,Jake / Casey,Open,
Frito-Lay,P1,Brian Watson,Vice President of Supply Chain,Executive,Exec sponsor / budget owner,Position YardFlow as the layer that reduces execution variance when network design is shifting under the business.,PepsiCo / LinkedIn route,Public LinkedIn profile,Medium,https://www.linkedin.com/in/brian-watson-906532142,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Frito-Lay,Jake / Casey,Open,
Frito-Lay,P2,Dr. Isaac Scott,National Senior Director Transportation at PepsiCo (Frito-Lay),Functional Buyer,Functional buyer / rollout owner,Position YardFlow as the layer that reduces execution variance when network design is shifting under the business.,LinkedIn / Sales Nav,Public LinkedIn profile,Medium,https://www.linkedin.com/in/dr-isaac-scott-69887131,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Frito-Lay,Jake / Casey,Open,
Diageo,P1,Raymond Reddrick,SVP North America Supply - Manufacturing and Distillation,Executive,Routing contact,"Use Primo to prove YardFlow is not theory; it is a way to make new network capacity behave better, faster.",LinkedIn / Sales Nav,Public LinkedIn profile,Medium,https://www.linkedin.com/in/raymond-reddrick-48b63619a,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Diageo,Jake / Casey,Open,
Diageo,P1,Marsha McIntosh-Hamilton,President of North America Supply,Executive,Exec sponsor / budget owner,"Use Primo to prove YardFlow is not theory; it is a way to make new network capacity behave better, faster.",Direct outreach to NA supply org,Official Diageo executive page,Medium,https://www.diageo.com/en/our-business/where-we-operate/north-america/diageo-north-america-executive-team/marsha-mcintosh-hamilton,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Diageo,Jake / Casey,Open,
Diageo,P2,Joseph Wanshek,"Procurement Director, North America Packaging",Functional Buyer,Functional buyer / rollout owner,"Use Primo to prove YardFlow is not theory; it is a way to make new network capacity behave better, faster.",LinkedIn / Sales Nav,Public LinkedIn profile,Medium,https://www.linkedin.com/in/joseph-wanshek-9b30a613,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Diageo,Jake / Casey,Open,
Hormel Foods,P1,Will Bonifant,Group Vice President and Chief Supply Chain Officer,Executive,Exec sponsor / budget owner,Use Primo to show that standard work in the yard can compound with broader supply-chain transformation.,Direct outreach to CSCO office,Official Hormel press release,Medium,https://www.hormelfoods.com/newsroom/press-releases/hormel-foods-names-will-bonifant-group-vice-president-and-chief-supply-chain-officer/,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Hormel%20Foods,Jake / Casey,Open,
