Account,Wave,Priority,Function,Target Title Cluster,Named Seed,Sales Nav Query,LinkedIn People Query,Google X-Ray Query,Keywords / Filters,Source Signal,Owner,Status,Notes
Dannon,Wave 0 - Warm intros,P1,Exec owner,COO / Chief Operations Officer,Heiko Gerling,"""Danone"" AND (""COO / Chief Operations Officer"" OR ""COO"")",Danone COO / Chief Operations Officer MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Danone"" ""COO""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; active warm-intro path,Casey,Not started,
Dannon,Wave 0 - Warm intros,P1,Supply Chain,CSCO / SVP Supply Chain,Heiko Gerling,"""Danone"" AND (""CSCO / SVP Supply Chain"" OR ""CSCO"")",Danone CSCO / SVP Supply Chain MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Danone"" ""CSCO""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; active warm-intro path,Casey,Not started,
Dannon,Wave 0 - Warm intros,P2,Logistics,VP Logistics / Transportation,Heiko Gerling,"""Danone"" AND (""VP Logistics / Transportation"" OR ""VP Logistics"")",Danone VP Logistics / Transportation MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Danone"" ""VP Logistics""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; active warm-intro path,Casey,Not started,
Dannon,Wave 0 - Warm intros,P2,Operations,VP Customer Service / S&OP,Heiko Gerling,"""Danone"" AND (""VP Customer Service / S&OP"" OR ""VP Customer Service"")",Danone VP Customer Service / S&OP MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Danone"" ""VP Customer Service""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; active warm-intro path,Casey,Not started,
Dannon,Wave 0 - Warm intros,P3,Transformation,Plant / network operations leader,Heiko Gerling,"""Danone"" AND (""Plant / network operations leader"" OR ""Plant"")",Danone Plant / network operations leader MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Danone"" ""Plant""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; active warm-intro path,Casey,Not started,
Dannon,Wave 0 - Warm intros,P3,Site leader,Transformation / digital supply chain leader,Heiko Gerling,"""Danone"" AND (""Transformation / digital supply chain leader"" OR ""Transformation"")",Danone Transformation / digital supply chain leader MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Danone"" ""Transformation""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; active warm-intro path,Casey,Not started,
General Mills,Wave 1 - Must-book,P1,Exec owner,CSCO / Chief Supply Chain Officer,Jonathan Ness,"""General Mills"" AND (""CSCO / Chief Supply Chain Officer"" OR ""CSCO"")",General Mills CSCO / Chief Supply Chain Officer MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""General Mills"" ""CSCO""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; leadership transition in March 2026,Jake,Not started,
General Mills,Wave 1 - Must-book,P1,Supply Chain,VP Logistics / Transportation,Jonathan Ness,"""General Mills"" AND (""VP Logistics / Transportation"" OR ""VP Logistics"")",General Mills VP Logistics / Transportation MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""General Mills"" ""VP Logistics""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; leadership transition in March 2026,Jake,Not started,
General Mills,Wave 1 - Must-book,P2,Logistics,VP Manufacturing,Jonathan Ness,"""General Mills"" AND (""VP Manufacturing"" OR ""VP Manufacturing"")",General Mills VP Manufacturing MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""General Mills"" ""VP Manufacturing""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; leadership transition in March 2026,Jake,Not started,
General Mills,Wave 1 - Must-book,P2,Operations,VP Warehousing / Distribution,Jonathan Ness,"""General Mills"" AND (""VP Warehousing / Distribution"" OR ""VP Warehousing"")",General Mills VP Warehousing / Distribution MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""General Mills"" ""VP Warehousing""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; leadership transition in March 2026,Jake,Not started,
General Mills,Wave 1 - Must-book,P3,Transformation,Director network operations,Jonathan Ness,"""General Mills"" AND (""Director network operations"" OR ""Director network operations"")",General Mills Director network operations MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""General Mills"" ""Director network operations""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; leadership transition in March 2026,Jake,Not started,
General Mills,Wave 1 - Must-book,P3,Site leader,Transformation / supply chain excellence,Jonathan Ness,"""General Mills"" AND (""Transformation / supply chain excellence"" OR ""Transformation"")",General Mills Transformation / supply chain excellence MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""General Mills"" ""Transformation""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; leadership transition in March 2026,Jake,Not started,
Frito-Lay,Wave 1 - Must-book,P1,Exec owner,SVP Supply Chain,Brian Watson,"""PepsiCo"" AND (""SVP Supply Chain"" OR ""SVP Supply Chain"")",PepsiCo SVP Supply Chain MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""PepsiCo"" ""SVP Supply Chain""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Frito-Lay,Wave 1 - Must-book,P1,Supply Chain,VP Logistics,Brian Watson,"""PepsiCo"" AND (""VP Logistics"" OR ""VP Logistics"")",PepsiCo VP Logistics MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""PepsiCo"" ""VP Logistics""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Frito-Lay,Wave 1 - Must-book,P2,Logistics,VP Transportation / Fleet,Brian Watson,"""PepsiCo"" AND (""VP Transportation / Fleet"" OR ""VP Transportation"")",PepsiCo VP Transportation / Fleet MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""PepsiCo"" ""VP Transportation""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Frito-Lay,Wave 1 - Must-book,P2,Operations,VP Manufacturing,Brian Watson,"""PepsiCo"" AND (""VP Manufacturing"" OR ""VP Manufacturing"")",PepsiCo VP Manufacturing MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""PepsiCo"" ""VP Manufacturing""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Frito-Lay,Wave 1 - Must-book,P3,Transformation,Director network operations,Brian Watson,"""PepsiCo"" AND (""Director network operations"" OR ""Director network operations"")",PepsiCo Director network operations MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""PepsiCo"" ""Director network operations""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Frito-Lay,Wave 1 - Must-book,P3,Site leader,DC / campus operations leader,Brian Watson,"""PepsiCo"" AND (""DC / campus operations leader"" OR ""DC"")",PepsiCo DC / campus operations leader MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""PepsiCo"" ""DC""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Diageo,Wave 1 - Must-book,P1,Exec owner,President / Supply or Operations leader,Marsha McIntosh-Hamilton,"""Diageo"" AND (""President / Supply or Operations leader"" OR ""President"")",Diageo President / Supply or Operations leader MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Diageo"" ""President""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Diageo,Wave 1 - Must-book,P1,Supply Chain,VP Supply Chain,Marsha McIntosh-Hamilton,"""Diageo"" AND (""VP Supply Chain"" OR ""VP Supply Chain"")",Diageo VP Supply Chain MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Diageo"" ""VP Supply Chain""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Diageo,Wave 1 - Must-book,P2,Logistics,VP Logistics,Marsha McIntosh-Hamilton,"""Diageo"" AND (""VP Logistics"" OR ""VP Logistics"")",Diageo VP Logistics MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Diageo"" ""VP Logistics""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Diageo,Wave 1 - Must-book,P2,Operations,VP Manufacturing,Marsha McIntosh-Hamilton,"""Diageo"" AND (""VP Manufacturing"" OR ""VP Manufacturing"")",Diageo VP Manufacturing MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Diageo"" ""VP Manufacturing""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
