"account","priority_band","tier","current_repo_count","current_source","fact_status","query_id","query_label","purpose","query","google_url"
"Dannon","A","Tier 1","15+","accounts-json","missing","official-footprint","Official Footprint","Find the company's published network, locations, or footprint page.","(""Dannon"" OR ""Danone"") (locations OR footprint OR network) (manufacturing OR plant OR warehouse OR ""distribution center"")","https://www.google.com/search?q=(%22Dannon%22%20OR%20%22Danone%22)%20(locations%20OR%20footprint%20OR%20network)%20(manufacturing%20OR%20plant%20OR%20warehouse%20OR%20%22distribution%20center%22)"
"Dannon","A","Tier 1","15+","accounts-json","missing","annual-report","Annual Report / IR","Find investor-facing language that discloses facility totals or regional footprint.","(""Dannon"" OR ""Danone"") (""annual report"" OR investor OR ""10-K"") (facilities OR plants OR warehouses OR ""distribution centers"")","https://www.google.com/search?q=(%22Dannon%22%20OR%20%22Danone%22)%20(%22annual%20report%22%20OR%20investor%20OR%20%2210-K%22)%20(facilities%20OR%20plants%20OR%20warehouses%20OR%20%22distribution%20centers%22)"
"Dannon","A","Tier 1","15+","accounts-json","missing","sec-filings","SEC Filings","Cross-check formal public filings when company marketing pages are vague.","site:sec.gov (""Dannon"" OR ""Danone"") (""10-K"" OR ""annual report"") (facilities OR plants OR warehouse OR logistics)","https://www.google.com/search?q=site%3Asec.gov%20(%22Dannon%22%20OR%20%22Danone%22)%20(%2210-K%22%20OR%20%22annual%20report%22)%20(facilities%20OR%20plants%20OR%20warehouse%20OR%20logistics)"
"Dannon","A","Tier 1","15+","accounts-json","missing","north-america-network","North America Network","Separate global footprint claims from the network Casey is actually selling into.","(""Dannon"" OR ""Danone"") (""North America"" OR USA OR US) (manufacturing OR distribution OR logistics) (facilities OR plants OR DCs OR warehouses)","https://www.google.com/search?q=(%22Dannon%22%20OR%20%22Danone%22)%20(%22North%20America%22%20OR%20USA%20OR%20US)%20(manufacturing%20OR%20distribution%20OR%20logistics)%20(facilities%20OR%20plants%20OR%20DCs%20OR%20warehouses)"
"Dannon","A","Tier 1","15+","accounts-json","missing","expansion-history","Expansion History","Catch openings, expansions, and new DC announcements that imply current footprint scale.","(""Dannon"" OR ""Danone"") (""distribution center"" OR plant OR warehouse) (opened OR expansion OR footprint OR network)","https://www.google.com/search?q=(%22Dannon%22%20OR%20%22Danone%22)%20(%22distribution%20center%22%20OR%20plant%20OR%20warehouse)%20(opened%20OR%20expansion%20OR%20footprint%20OR%20network)"
"Dannon","A","Tier 1","15+","accounts-json","missing","operations-footprint","Operations Footprint","Find supply-chain and operations interviews that mention site counts and operating model.","(""Dannon"" OR ""Danone"") (""supply chain"" OR operations OR manufacturing OR logistics) (footprint OR facilities OR plants OR network)","https://www.google.com/search?q=(%22Dannon%22%20OR%20%22Danone%22)%20(%22supply%20chain%22%20OR%20operations%20OR%20manufacturing%20OR%20logistics)%20(footprint%20OR%20facilities%20OR%20plants%20OR%20network)"
"Diageo","B","Tier 2","30+","accounts-json","missing","official-footprint","Official Footprint","Find the company's published network, locations, or footprint page.","""Diageo"" (locations OR footprint OR network) (manufacturing OR plant OR warehouse OR ""distribution center"")","https://www.google.com/search?q=%22Diageo%22%20(locations%20OR%20footprint%20OR%20network)%20(manufacturing%20OR%20plant%20OR%20warehouse%20OR%20%22distribution%20center%22)"
"Diageo","B","Tier 2","30+","accounts-json","missing","annual-report","Annual Report / IR","Find investor-facing language that discloses facility totals or regional footprint.","""Diageo"" (""annual report"" OR investor OR ""10-K"") (facilities OR plants OR warehouses OR ""distribution centers"")","https://www.google.com/search?q=%22Diageo%22%20(%22annual%20report%22%20OR%20investor%20OR%20%2210-K%22)%20(facilities%20OR%20plants%20OR%20warehouses%20OR%20%22distribution%20centers%22)"
"Diageo","B","Tier 2","30+","accounts-json","missing","sec-filings","SEC Filings","Cross-check formal public filings when company marketing pages are vague.","site:sec.gov ""Diageo"" (""10-K"" OR ""annual report"") (facilities OR plants OR warehouse OR logistics)","https://www.google.com/search?q=site%3Asec.gov%20%22Diageo%22%20(%2210-K%22%20OR%20%22annual%20report%22)%20(facilities%20OR%20plants%20OR%20warehouse%20OR%20logistics)"
"Diageo","B","Tier 2","30+","accounts-json","missing","north-america-network","North America Network","Separate global footprint claims from the network Casey is actually selling into.","""Diageo"" (""North America"" OR USA OR US) (manufacturing OR distribution OR logistics) (facilities OR plants OR DCs OR warehouses)","https://www.google.com/search?q=%22Diageo%22%20(%22North%20America%22%20OR%20USA%20OR%20US)%20(manufacturing%20OR%20distribution%20OR%20logistics)%20(facilities%20OR%20plants%20OR%20DCs%20OR%20warehouses)"
