This is the firing tab. Route people to the live YardFlow website audit page instead of the old custom form.,,,,,,,,,,,,
Rank,Account,Audit URL,Open Link,QR,Suggested “What should we know?”,Fast Ask,Proof Asset,Warm Route,Graphic File,Owner,Status,Last Touch
1,Danone,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Danone,Open audit page,,Exploring a 30-minute network audit for Danone. Focus: Show how Primo used yard/process standardization to lift throughput without adding yard labor. Proof available: Danone-specific infographic + Primo proof + offer for Primo customer reference join-in.,"If it is useful, the fastest way to pressure-test rollout order and ROI for Danone is the 30-minute network audit here.",Danone-specific infographic + Primo proof + offer for Primo customer reference join-in.,Mark Shaughnessy -> Danone CSCO intro,Dannon.png,Jake / Casey,Open,
2,General Mills,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=General%20Mills,Open audit page,,"Exploring a 30-minute network audit for General Mills. Focus: Anchor on multi-site consistency and how standardized yard execution supports sourcing, planning, manufacturing, logistics, and customer operations. Proof available: Primo proof + short ROI angle around reduced variance and higher throughput.","If it is useful, the fastest way to pressure-test rollout order and ROI for General Mills is the 30-minute network audit here.",Primo proof + short ROI angle around reduced variance and higher throughput.,No warm intro yet,General_Mills.png,Jake / Casey,Open,
2,Frito-Lay,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Frito-Lay,Open audit page,,Exploring a 30-minute network audit for Frito-Lay. Focus: Position YardFlow as the layer that reduces execution variance when network design is shifting under the business. Proof available: Primo proof + variance-tax framing.,"If it is useful, the fastest way to pressure-test rollout order and ROI for Frito-Lay is the 30-minute network audit here.",Primo proof + variance-tax framing.,PepsiCo network / LinkedIn path,Frito_Lay.png,Jake / Casey,Open,
2,Diageo,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Diageo,Open audit page,,"Exploring a 30-minute network audit for Diageo. Focus: Use Primo to prove YardFlow is not theory; it is a way to make new network capacity behave better, faster. Proof available: Primo proof + manufacturing / warehousing site-flow angle.","If it is useful, the fastest way to pressure-test rollout order and ROI for Diageo is the 30-minute network audit here.",Primo proof + manufacturing / warehousing site-flow angle.,Board / advisor network research,Diageo.png,Jake / Casey,Open,
5,Hormel Foods,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Hormel%20Foods,Open audit page,,Exploring a 30-minute network audit for Hormel Foods. Focus: Use Primo to show that standard work in the yard can compound with broader supply-chain transformation. Proof available: Primo proof + transformation angle.,"If it is useful, the fastest way to pressure-test rollout order and ROI for Hormel Foods is the 30-minute network audit here.",Primo proof + transformation angle.,Board / network research,Hormel_Foods.png,Jake / Casey,Open,
5,JM Smucker,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=JM%20Smucker,Open audit page,,Exploring a 30-minute network audit for JM Smucker. Focus: Frame YardFlow as a way to reduce site-by-site operational variance across distribution and manufacturing flows. Proof available: Primo proof + variance-tax framing.,"If it is useful, the fastest way to pressure-test rollout order and ROI for JM Smucker is the 30-minute network audit here.",Primo proof + variance-tax framing.,Board / network research,JM_Smucker.png,Jake / Casey,Open,
9,The Home Depot,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=The%20Home%20Depot,Open audit page,,"Exploring a 30-minute network audit for The Home Depot. Focus: Position YardFlow as site-level flow standardization for high-volume campuses where transport handoffs and trailer orchestration matter. Proof available: Primo proof + one-pager focused on standardization, traffic flow, and execution consistency.","If it is useful, the fastest way to pressure-test rollout order and ROI for The Home Depot is the 30-minute network audit here.","Primo proof + one-pager focused on standardization, traffic flow, and execution consistency.",MODEX keynote proximity + ecosystem intros,The_Home_Depot.png,Jake / Casey,Open,
10,Georgia Pacific,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Georgia%20Pacific,Open audit page,,"Exploring a 30-minute network audit for Georgia Pacific. Focus: Lead with yard, gate, trailer visibility, and dock-flow standardization. Proof available: Primo proof + operator-first demo angle.","If it is useful, the fastest way to pressure-test rollout order and ROI for Georgia Pacific is the 30-minute network audit here.",Primo proof + operator-first demo angle.,LinkedIn + website research,Georgia_Pacific.png,Jake / Casey,Open,
11,H-E-B,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=H-E-B,Open audit page,,Exploring a 30-minute network audit for H-E-B. Focus: Use Primo to position YardFlow as the connective tissue between network growth and site-level execution. Proof available: Primo proof + retail distribution growth angle.,"If it is useful, the fastest way to pressure-test rollout order and ROI for H-E-B is the 30-minute network audit here.",Primo proof + retail distribution growth angle.,LinkedIn + grocery ops network,H_E_B.png,Jake / Casey,Open,
13,Hyundai Motor America,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Hyundai%20Motor%20America,Open audit page,,Exploring a 30-minute network audit for Hyundai Motor America. Focus: Position YardFlow as a practical site execution layer that complements bigger network-localization moves. Proof available: Primo proof + manufacturing/localization angle.,"If it is useful, the fastest way to pressure-test rollout order and ROI for Hyundai Motor America is the 30-minute network audit here.",Primo proof + manufacturing/localization angle.,Automotive logistics network research,Hyundai_Motor_America.png,Jake / Casey,Open,
13,Honda,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Honda,Open audit page,,"Exploring a 30-minute network audit for Honda. Focus: Talk standard-driver-journey, trailer orchestration, and site-to-site discipline. Proof available: Primo proof + plant throughput frame","If it is useful, the fastest way to pressure-test rollout order and ROI for Honda is the 30-minute network audit here.",Primo proof + plant throughput frame,Automotive logistics network research,Honda.png,Jake / Casey,Open,
13,John Deere,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=John%20Deere,Open audit page,,Exploring a 30-minute network audit for John Deere. Focus: Frame around industrial-campus standardization and throughput visibility. Proof available: Primo proof + industrial campus frame,"If it is useful, the fastest way to pressure-test rollout order and ROI for John Deere is the 30-minute network audit here.",Primo proof + industrial campus frame,Ag / industrial ops network research,John_Deere.png,Jake / Casey,Open,
17,Kenco Logistics Services,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Kenco%20Logistics%20Services,Open audit page,,"Exploring a 30-minute network audit for Kenco Logistics Services. Focus: Position around co-selling, referrals, and where YardFlow helps shared customers. Proof available: Primo proof + partner narrative","If it is useful, the fastest way to pressure-test rollout order and ROI for Kenco Logistics Services is the 30-minute network audit here.",Primo proof + partner narrative,Kristi Montgomery public session presence,Kenco_Logistics_Services.png,Jake / Casey,Open,
18,Barnes & Noble,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Barnes%20%26%20Noble,Open audit page,,Exploring a 30-minute network audit for Barnes & Noble. Focus: Use retail replenishment and DC throughput as the hook. Proof available: Primo proof + retail replenishment frame,"If it is useful, the fastest way to pressure-test rollout order and ROI for Barnes & Noble is the 30-minute network audit here.",Primo proof + retail replenishment frame,Annette Danek-Akey public session presence,Barnes_Noble.png,Jake / Casey,Open,
19,FedEx,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=FedEx,Open audit page,,Exploring a 30-minute network audit for FedEx. Focus: Treat as strategic / opportunistic conversation. Proof available: Primo proof + network-ops analogy,"If it is useful, the fastest way to pressure-test rollout order and ROI for FedEx is the 30-minute network audit here.",Primo proof + network-ops analogy,Broad network research,FedEx.png,Jake / Casey,Open,
7,Dawn Foods,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Dawn%20Foods,Open audit page,,"Exploring a 30-minute network audit for Dawn Foods. Focus: Show how Primo used site standardization to improve throughput without adding yard labor, then frame Dawn as a bakery-network version of the same variance tax problem. Proof available: Primo proof + Dawn-specific one-pager","If it is useful, the fastest way to pressure-test rollout order and ROI for Dawn Foods is the 30-minute network audit here.",Primo proof + Dawn-specific one-pager,John Schmitz / Ahmet Hepdogan / Kristi Kangas path; bakery manufacturing + supply chain route,Dawn_Foods.png,Jake / Casey,Open,
7,Del Monte Foods,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Del%20Monte%20Foods,Open audit page,,"Exploring a 30-minute network audit for Del Monte Foods. Focus: Lead with throughput + standardization across plants and DCs, then pivot to customer service impact and network resiliency. Proof available: Primo proof + food-network standardization story","If it is useful, the fastest way to pressure-test rollout order and ROI for Del Monte Foods is the 30-minute network audit here.",Primo proof + food-network standardization story,Daniela Vonghia route; customer supply chain / strategic supply path,Del_Monte_Foods.png,Jake / Casey,Open,
12,Dollar General,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Dollar%20General,Open audit page,,Exploring a 30-minute network audit for Dollar General. Focus: Frame the conversation around reducing execution variance across distribution nodes and tightening the handoff between transportation and facility operations. Proof available: Primo proof + retail DC variance-tax framing,"If it is useful, the fastest way to pressure-test rollout order and ROI for Dollar General is the 30-minute network audit here.",Primo proof + retail DC variance-tax framing,Rod West / Rebecca Powers / Mark Taylor path through distribution and transportation leaders,Dollar_General.png,Jake / Casey,Open,
16,Dollar Tree,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Dollar%20Tree,Open audit page,,Exploring a 30-minute network audit for Dollar Tree. Focus: Use the new-DC/rebuild context to talk about standardizing flow before local habits calcify into permanent variance. Proof available: Primo proof + DC ramp / rebuild execution frame,"If it is useful, the fastest way to pressure-test rollout order and ROI for Dollar Tree is the 30-minute network audit here.",Primo proof + DC ramp / rebuild execution frame,Roxanne Weng path; distribution + transportation leaders via Family Dollar / Dollar Tree network,Dollar_Tree.png,Jake / Casey,Open,
20,IKEA,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=IKEA,Open audit page,,Exploring a 30-minute network audit for IKEA. Focus: Position YardFlow as a way to eliminate local execution variance at physical fulfillment sites rather than as a traditional yard-management replacement. Proof available: Primo proof + fulfillment-node execution frame,"If it is useful, the fastest way to pressure-test rollout order and ROI for IKEA is the 30-minute network audit here.",Primo proof + fulfillment-node execution frame,Pam Andrews / Rob Olson / IKEA logistics-unit path,IKEA.png,Jake / Casey,Open,
